Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,100,554.96,-2091781416315349196,2009131599376394931,NaN,0.0
1,1,5.0,-8521239748196121270,-5062402545521630803,0.008432016864033727,0.03389830508474576
2,1,2.0,-7566401908741690337,-7252125241289603533,-0.01605803211606423,0.06779661016949153
3,1,4.0,-89773468390580512,1233806087779548067,0.0042160084320168635,0.01694915254237288
4,100,554.11,-8256524777413992071,-8961734915162739938,NaN,0.0
5,1,2.0,3328494796473223585,6055639455690432392,-0.009300018600037202,0.05084745762711865
6,100,554.11,2612882295546988440,-5530452328170460038,NaN,0.0
7,100,550.2,-5163372958789919374,-4720881000921804180,NaN,0.0
8,100,549.4,3385433343347530987,-5728052298528108653,NaN,0.0
9,100,556.93,-3847339608244300013,1755659108968164426,NaN,0.0
10,100,559.78,-4101125305519763887,-8824933875414801652,NaN,0.0
11,100,564.26,819175930059211411,-6143988978685274314,NaN,0.0
12,100,557.62,217785903735433383,-3094566579830246602,NaN,0.0
13,100,552.7,4042834825420675334,6289487539683233234,NaN,0.0
14,100,557.38,3616132071585107875,430569481588912036,NaN,0.0
15,100,556.86,1590451393687422326,-730080016039260922,NaN,0.0
16,100,559.36,5363121094897192416,-3768014177474210306,NaN,0.0
17,100,556.98,7895803878238913815,-2642318853064708881,NaN,0.0
18,100,557.65,-3647089645581086152,1105819833821738517,NaN,0.0
19,100,567.12,-4442192648761502019,5676534778742773015,NaN,0.0
20,100,562.75,-5767197059687895463,5448226830076404536,NaN,0.0
21,100,558.25,4681259504429559186,-2652893049701515289,NaN,0.0
22,1,4.0,9171473416695245458,3027956314915481285,5.580011160022318E-4,0.01694915254237288
23,100,554.02,1581655030637107971,210171898585629017,NaN,0.0
24,100,556.32,-4468010979168714002,-7146463242709170174,NaN,0.0
25,1,2.0,-4063388110868880390,5603863631075198193,0.0053320106640213265,0.05084745762711865
26,100,556.92,3878992242685108611,-5398068437603615443,NaN,0.0
27,100,558.27,-6092926502412241582,-1688339251824576787,NaN,0.0
28,100,558.24,3844331254771067403,1845212370632661457,NaN,0.0
29,100,561.31,-6615776650209891449,-3766968229810156357,NaN,0.0
