Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,19610.0,-3425471201373567303,,NaN,0.0
1,3,19047.0,1743562681583911372,,NaN,0.0
2,3,19507.666666666668,-634235512218672317,,NaN,0.0
3,3,20500.666666666668,4573602390136615456,,NaN,0.0
4,3,19651.333333333332,7727698803468232671,,NaN,0.0
5,3,19340.666666666668,-8151956590085995169,,NaN,0.0
6,3,19525.0,4691417812913528696,,NaN,0.0
7,3,19878.666666666668,-5915987352963998484,,NaN,0.0
8,3,19549.0,3204884787806628041,,NaN,0.0
9,3,17539.0,-2499490633746700416,,NaN,0.0
10,3,20146.0,554434583449688628,,NaN,0.0
11,3,20192.0,812026012890471193,,NaN,0.0
12,3,20359.0,1572214956138942163,,NaN,0.0
13,3,18920.333333333332,-4617890066003731917,,NaN,0.0
14,3,20413.666666666668,3272243409014419661,,NaN,0.0
15,3,19714.0,8800155737183762485,,NaN,0.0
16,3,20809.0,4279710531976008938,,NaN,0.0
17,3,19337.666666666668,4989724967244058926,,NaN,0.0
18,3,19739.0,-272284894795711640,,NaN,0.0
19,3,20467.333333333332,-6782860337630926656,,NaN,0.0
20,3,19593.0,2047117919440783886,,NaN,0.0
21,3,19149.666666666668,-8241111378268404644,,NaN,0.0
22,3,20561.666666666668,166849603452392322,,NaN,0.0
23,3,19023.333333333332,-8324528905749089105,,NaN,0.0
24,3,19908.333333333332,-8038289136902963241,,NaN,0.0
25,3,19904.666666666668,1834725618204263003,,NaN,0.0
26,3,19297.333333333332,1978752409064106602,,NaN,0.0
27,3,18964.333333333332,2458725145702904298,,NaN,0.0
28,3,19488.666666666668,6909921509347559661,,NaN,0.0
29,3,20517.0,-749047247320624385,,NaN,0.0
