Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,10137.400000,-3425471201373567303,7177535778225614788,0.000000,0.000000
1,10,8671.600000,1743562681583911372,-781818568782754099,0.000000,0.000000
2,10,7424.100000,-634235512218672317,3194155211216160655,0.000000,0.000000
3,10,8441.400000,4573602390136615456,-1335902610975299123,0.000000,0.000000
4,10,4.200000,7727698803468232671,119000909339887623,0.080104,0.322034
5,10,8520.300000,-8151956590085995169,3245733842183859371,0.000000,0.000000
6,10,10585.800000,4691417812913528696,7191747682744257549,0.000000,0.000000
7,10,9025.800000,-5915987352963998484,-8467330026394408832,0.000000,0.000000
8,10,7251.300000,3204884787806628041,-903502959864294656,0.000000,0.000000
9,10,9535.600000,-2499490633746700416,-4366844912177165754,0.000000,0.000000
10,10,9357.600000,554434583449688628,-7467810419737853106,0.000000,0.000000
11,10,9037.400000,812026012890471193,1246514861840593288,0.000000,0.000000
12,10,7142.600000,1572214956138942163,5086263882365239885,0.000000,0.000000
13,10,9642.400000,-4617890066003731917,-1004717538955411879,0.000000,0.000000
14,10,9194.300000,3272243409014419661,-4957385309142928053,0.000000,0.000000
15,10,8594.800000,8800155737183762485,-2554211610182268282,0.000000,0.000000
16,10,7754.000000,4279710531976008938,8304233450354982883,0.000000,0.000000
17,10,9012.700000,4989724967244058926,-6494771946813505010,0.000000,0.000000
18,10,7422.300000,-272284894795711640,7590147765836682130,0.000000,0.000000
19,10,10481.500000,-6782860337630926656,7953121083345669842,0.000000,0.000000
20,10,9380.700000,2047117919440783886,-2197924531768925047,0.000000,0.000000
21,10,9590.400000,-8241111378268404644,413972992964856712,0.000000,0.000000
22,10,12830.400000,166849603452392322,-5931172331553974332,0.000000,0.000000
23,10,10381.300000,-8324528905749089105,5832342346529665525,0.000000,0.000000
24,10,9627.100000,-8038289136902963241,-379555028035371430,0.000000,0.000000
25,10,8398.200000,1834725618204263003,-6773208249322145701,0.000000,0.000000
26,10,9163.000000,1978752409064106602,6552897303084397079,0.000000,0.000000
27,10,10031.500000,2458725145702904298,7455220552471302703,0.000000,0.000000
28,10,9370.800000,6909921509347559661,-8370391785603258553,0.000000,0.000000
29,10,11751.500000,-749047247320624385,-6043753371732244465,0.000000,0.000000
