Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,5546.0,3394053878439304766,,NaN,0.0
1,3,5525.666666666667,8031753614496833124,,NaN,0.0
2,3,5208.0,5749707386842579805,,NaN,0.0
3,3,5392.333333333333,-7108450670121493499,,NaN,0.0
4,3,5784.0,4226493937843085135,,NaN,0.0
5,3,5437.666666666667,-8718212088944526529,,NaN,0.0
6,3,5632.0,8613096305672968387,,NaN,0.0
7,3,5162.666666666667,-1991451534383343133,,NaN,0.0
8,3,5544.0,2798483654236051920,,NaN,0.0
9,3,5618.0,8909983974411608792,,NaN,0.0
10,3,5710.666666666667,4286777641714463834,,NaN,0.0
11,3,5620.0,-7431114949873425636,,NaN,0.0
12,3,5572.0,5999427699553298618,,NaN,0.0
13,3,5443.0,-3803985480541803767,,NaN,0.0
14,3,5345.333333333333,3151921647258940062,,NaN,0.0
15,3,5441.333333333333,1223193723853012953,,NaN,0.0
16,3,5518.333333333333,2637859300016226348,,NaN,0.0
17,3,5786.666666666667,1336982290880962924,,NaN,0.0
18,3,5725.666666666667,-5442790682629687443,,NaN,0.0
19,3,5479.333333333333,1028980390827288648,,NaN,0.0
20,3,5084.0,6939512748233928168,,NaN,0.0
21,3,5681.0,2850581160160542688,,NaN,0.0
22,3,5502.333333333333,-3684115661748767091,,NaN,0.0
23,3,5856.0,-8938752901239521000,,NaN,0.0
24,3,5041.0,4687652294793308629,,NaN,0.0
25,3,5363.333333333333,-1251935215777009400,,NaN,0.0
26,3,5702.333333333333,3993438426385288230,,NaN,0.0
27,3,5864.0,2234823566502373376,,NaN,0.0
28,3,5582.666666666667,-1229260075000547717,,NaN,0.0
29,3,5554.666666666667,-8106860695108836149,,NaN,0.0
