Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,1156.0,976340229801220493,,NaN,0.0
1,3,1047.3333333333333,-7910174600741877041,,NaN,0.0
2,3,1165.0,-986803214068069614,,NaN,0.0
3,3,1074.0,-5185477647917593678,,NaN,0.0
4,3,1120.6666666666667,1460570171212168923,,NaN,0.0
5,3,988.3333333333334,-7550282398100885007,,NaN,0.0
6,3,1178.3333333333333,594727344823564867,,NaN,0.0
7,3,1136.0,6535692512511528692,,NaN,0.0
8,3,1179.0,-8118647211626895026,,NaN,0.0
9,3,1106.6666666666667,-5943115126710776622,,NaN,0.0
10,3,1079.0,7354758028696582856,,NaN,0.0
11,3,1122.3333333333333,-1644366302335475432,,NaN,0.0
12,3,1050.6666666666667,1434871719750048430,,NaN,0.0
13,3,1137.3333333333333,-5914735472903460920,,NaN,0.0
14,3,1156.6666666666667,1469584125830491853,,NaN,0.0
15,3,1080.6666666666667,-8204811084149069148,,NaN,0.0
16,3,1090.6666666666667,-159625262583219799,,NaN,0.0
17,3,1137.3333333333333,1986887483683313836,,NaN,0.0
18,3,1161.3333333333333,-2008040158371412065,,NaN,0.0
19,3,1125.3333333333333,-6867290789522542108,,NaN,0.0
20,3,1165.3333333333333,-8988953479736964531,,NaN,0.0
21,3,1100.0,-5466133510888592551,,NaN,0.0
22,3,1174.0,-3917271009425799631,,NaN,0.0
23,3,1130.6666666666667,305668928598953830,,NaN,0.0
24,3,1176.3333333333333,4078504486488274576,,NaN,0.0
25,3,1162.6666666666667,-5839132642987942349,,NaN,0.0
26,3,950.0,7964399402310126488,,NaN,0.0
27,3,1115.3333333333333,303018294381507198,,NaN,0.0
28,3,1106.0,-4175036774578788664,,NaN,0.0
29,3,1064.6666666666667,1047922224785075869,,NaN,0.0
