Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,5.0,3474978941519596138,-47632694438125662,0.0012698412698412685,0.1111111111111111
1,3,824.6666666666666,991636898555423124,-8862567610656013959,NaN,0.0
2,3,1985.3333333333333,-5414766030086327640,-4748511106033463246,NaN,0.0
3,3,533.3333333333334,6930887194672779829,7139009018505309638,NaN,0.015873015873015872
4,3,629.6666666666666,-8256430099923060231,8746318455353325065,NaN,0.031746031746031744
5,3,1038.0,-6024625572839028530,-6402278405251868616,NaN,0.0
6,3,1700.6666666666667,-2359855207081587903,1924569645805564070,NaN,0.0
7,3,761.3333333333334,-6268798972068718063,5666737837205097792,NaN,0.0
8,3,1582.3333333333333,-4621698164188052490,-1065418455797879856,NaN,0.0
9,3,1570.0,4063044638576489049,-1472033150402519278,NaN,0.0
10,3,1160.3333333333333,7411288001878369506,-8483329623621881823,NaN,0.0
11,3,564.0,-8236232657681136113,3188276407639069644,NaN,0.09523809523809523
12,3,411.3333333333333,-5256175309773075673,-7362168482330216504,NaN,0.0
13,3,182.66666666666666,-2551648714084459442,-8869738125396209187,NaN,0.047619047619047616
14,3,3241.0,6289942974578013572,8124337983406361481,NaN,0.0
15,3,2528.6666666666665,1177980056998436810,8835315421037325988,NaN,0.0
16,3,880.0,3888796679377017302,1905091301043219464,NaN,0.015873015873015872
17,3,581.3333333333334,5689868424050448877,-2864223538246843561,NaN,0.015873015873015872
18,3,2051.0,-4470339072746074400,8740235460314696519,NaN,0.0
19,3,1939.6666666666667,7676154367508921410,-8401320253136655322,NaN,0.0
20,3,822.6666666666666,5757608619073687118,4017229986919717485,NaN,0.047619047619047616
21,3,1112.3333333333333,5424031222411598870,447160156545029535,NaN,0.015873015873015872
22,3,1807.3333333333333,-3267487237892549898,6040980282116648905,NaN,0.0
23,3,1994.6666666666667,3831133625097159772,-9214924209717822380,NaN,0.0
24,3,2206.6666666666665,1828248098233620321,8210806788719544597,NaN,0.0
25,3,190.66666666666666,3528911419354661329,-1019678342875790662,NaN,0.14285714285714285
26,3,3285.3333333333335,6525010278778239114,1904899496005201406,NaN,0.0
27,3,3355.3333333333335,-2232975659003097760,754498629505171795,NaN,0.0
28,3,856.0,-5545630212601462555,-442684195421718813,NaN,0.0
29,3,3.6666666666666665,7562680022696933575,-1323482373371464433,6.349206349206352E-4,0.07936507936507936
