Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,100,1667.59,-9135264219944816664,,NaN,0.0
1,1,3.0,-6970019261555608491,,0.03619047619047619,0.3333333333333333
2,100,1670.4,7495156895743000370,,NaN,0.0
3,100,1671.2,-94727898626380715,,NaN,0.0
4,100,1669.32,6565892200155805630,,NaN,0.0
5,1,6.0,3792778121158126172,,0.0038095238095238087,0.047619047619047616
6,1,6.0,-7506666309343057371,,0.005714285714285714,0.047619047619047616
7,100,1679.19,3067036520714312206,,NaN,0.0
8,100,1671.03,-3213644572916114006,,NaN,0.0
9,100,1676.77,2962477786232483183,,NaN,0.0
10,100,1660.4,-6929572361441950729,,NaN,0.0
11,1,2.0,-894554622491502150,,-0.01904761904761905,0.19047619047619047
12,100,1663.53,-538634307763031028,,NaN,0.0
13,100,1659.42,-2352583203455464080,,NaN,0.0
14,100,1686.9,-1369694665701121932,,NaN,0.0
15,1,4.0,-2302328934571035725,,0.0057142857142857125,0.09523809523809523
16,100,1681.72,-8446782676469220167,,NaN,0.0
17,100,1673.85,-7962210810938550060,,NaN,0.0
18,100,1678.43,5495097992742323737,,NaN,0.0
19,100,1665.34,-6704501622894099415,,NaN,0.0
20,2,4.0,8904522683295081337,,-0.0019047619047619052,0.07142857142857142
21,1,3.0,3662418549294816036,,0.00380952380952381,0.14285714285714285
22,100,1676.32,-5185767791853367143,,NaN,0.0
23,1,6.0,5828207581162496416,,0.005714285714285714,0.047619047619047616
24,100,1681.35,8451254970367903880,,NaN,0.0
25,100,1660.49,930648673765337982,,NaN,0.0
26,100,1679.3,3920637226472465242,,NaN,0.0
27,100,1674.94,-2041146224183405712,,NaN,0.0
28,100,1671.94,1171952081736817433,,NaN,0.0
29,100,1675.85,-7383726107964093676,,NaN,0.0
