Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,2.6666666666666665,615701874688213321,-5007400276311477838,0.06292340036951306,0.5309734513274336
1,3,3.0,-731920045149869278,5846099771256469497,0.06862182958511188,0.5634218289085545
2,3,3.0,1719911554806448974,3199580336204505392,0.07037737051115973,0.5191740412979351
3,3,2.6666666666666665,-3392775679021497287,3037866708443872839,0.06702202212831022,0.5634218289085545
4,3,2.6666666666666665,7801297046502405985,2157617775262633003,0.06554963296452816,0.5575221238938053
5,3,3.0,7698224372445293057,-5829656049355129221,0.06862182958511188,0.5634218289085545
6,3,2.6666666666666665,-2547339213636913147,-136227357419199939,0.06702202212831022,0.5634218289085545
7,3,3.0,-1438240251348758041,1501143513731812521,0.06634953669292899,0.5575221238938053
8,3,2.6666666666666665,-5486907429663553238,-9063102000978051779,0.06702202212831022,0.5634218289085545
9,3,2.6666666666666665,-5617604998408386434,3000735113951518647,0.06292340036951306,0.5309734513274336
10,3,4.666666666666667,-2580105511230670875,-5671212118208216656,0.06881295702464128,0.5545722713864306
11,3,3.0,-2667486105195054517,-1203264200981239577,0.06862182958511188,0.5634218289085545
12,3,3.0,1464519540864713059,-1342975680896576898,0.06292340036951306,0.5309734513274336
13,3,3.0,4580329666722018780,7633583313609887924,0.06862182958511188,0.5634218289085545
14,3,3.0,1331434713066747163,2916073516075125736,0.06862182958511188,0.5634218289085545
15,3,2.3333333333333335,-98693687425287393,5845332684040383714,0.06702202212831022,0.5634218289085545
16,3,2.6666666666666665,-272842751338084797,5872432995371219385,0.06292340036951306,0.5309734513274336
17,3,2.6666666666666665,8759335333482589168,4341468293307696080,0.0662858275464192,0.56047197640118
18,3,2.3333333333333335,-5841426530208530300,6080080566309485755,0.06292340036951306,0.5309734513274336
19,3,3.0,-6694363419484950029,-5229501694884957936,0.06862182958511188,0.5634218289085545
20,3,3.0,-3692554466320100368,-7956571393600875668,0.06954915160653231,0.5575221238938053
21,3,3.0,1261163605720919459,911775351054434105,0.06862182958511188,0.5634218289085545
22,3,3.0,-6180516448598987725,9104494604360268273,0.06862182958511188,0.5634218289085545
23,3,3.0,-3785757993379167573,-228674030129460485,0.06862182958511188,0.5634218289085545
24,3,3.0,2883228848343041800,-4442905035025656501,0.06862182958511188,0.5634218289085545
25,3,2.6666666666666665,1370411077403006324,-3554851162527267981,0.06702202212831022,0.5634218289085545
26,3,3.0,5786220188709912047,-854675858762785336,0.06292340036951306,0.5309734513274336
27,3,3.0,-770718479953605122,1001687496713329599,0.06862182958511188,0.5634218289085545
28,3,2.6666666666666665,-7590127605899249892,7283640968570584251,0.06292340036951306,0.5309734513274336
29,3,3.0,8594417731260363763,-4270354272277888555,0.06292340036951306,0.5309734513274336
