Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.000000,-7240348996590834719,-649113631171056374,0.050893,0.227027
1,10,320.600000,-5311242831059256485,1682225389562509045,0.000202,0.000901
2,10,438.600000,7133267839299909563,-4714089382138231667,0.000202,0.000901
3,10,2.900000,-4879770653013578426,1743514892481875523,0.057759,0.257658
4,10,3.000000,-7978032600194138122,-8506708352716241413,0.052509,0.234234
5,10,327.500000,-1706805836430481502,-7372439630335149007,0.000000,0.000000
6,10,300.200000,5597175164159858910,-1314549486717729523,0.000000,0.000000
7,10,3.100000,2308274237443303783,-5703765998237526107,0.048469,0.216216
8,10,3.300000,5796021815880667158,-2356988597793317118,0.056346,0.251351
9,10,3.000000,-7872638020691053655,565554973646066603,0.055336,0.246847
10,10,3.300000,5196582072723136751,6717808245086897587,0.050085,0.223423
11,10,3.200000,5181566153864349709,7730761719789769388,0.044026,0.196396
12,10,3.000000,-911983138636948996,-8679575302985472027,0.055740,0.248649
13,10,3.200000,-9160245594678502793,-5529414032359982882,0.055942,0.249550
14,10,3.600000,6924204159067555813,-7020763375801496866,0.054124,0.241441
15,10,3.100000,8365669357447244296,9211909089472819710,0.053518,0.238739
16,10,3.100000,3419465013329475963,-1908794857114883782,0.045642,0.203604
17,10,3.000000,-434629981971614393,1577154286954618429,0.061395,0.273874
18,10,315.200000,8854165114489647373,-4393947972621587714,0.000000,0.000000
19,10,3.000000,2032032855639653789,-4201345819965007241,0.058365,0.260360
20,10,3.000000,7228670512627652345,-1408616201096164627,0.055740,0.248649
21,10,3.000000,4632759219560893958,835278123915073450,0.056952,0.254054
22,10,358.100000,8634985996155453829,-8263107857487659750,0.000000,0.000000
23,10,413.600000,5238685447327365381,8416925500042982821,0.000000,0.000000
24,10,3.000000,-5112783292783499793,8488022209096854206,0.055336,0.246847
25,10,3.200000,8558643142744130008,-1437595776588704513,0.042007,0.187387
26,10,3.000000,-8353632230263879998,-8140556884229400757,0.062404,0.278378
27,10,3.000000,-4193303632596949779,-7349375526157249462,0.057759,0.257658
28,10,3.200000,1007458335645561706,7919329704551105216,0.044834,0.200000
29,10,395.400000,-7073872138731293804,-969701899926180727,0.000000,0.000000
