Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.300000,-7240348996590834719,-649113631171056374,0.056346,0.251351
1,10,3.100000,-5311242831059256485,1682225389562509045,0.054528,0.243243
2,10,3.000000,7133267839299909563,-4714089382138231667,0.063010,0.281081
3,10,3.400000,-4879770653013578426,1743514892481875523,0.047258,0.210811
4,10,3.200000,-7978032600194138122,-8506708352716241413,0.054124,0.241441
5,10,3.000000,-1706805836430481502,-7372439630335149007,0.053114,0.236937
6,10,3.100000,5597175164159858910,-1314549486717729523,0.062000,0.276577
7,10,3.200000,2308274237443303783,-5703765998237526107,0.048065,0.214414
8,10,3.000000,5796021815880667158,-2356988597793317118,0.055942,0.249550
9,10,3.100000,-7872638020691053655,565554973646066603,0.054326,0.242342
10,10,3.100000,5196582072723136751,6717808245086897587,0.052105,0.232432
11,10,3.100000,5181566153864349709,7730761719789769388,0.051095,0.227928
12,10,3.000000,-911983138636948996,-8679575302985472027,0.049681,0.221622
13,10,3.000000,-9160245594678502793,-5529414032359982882,0.062202,0.277477
14,10,3.300000,6924204159067555813,-7020763375801496866,0.050287,0.224324
15,10,3.500000,8365669357447244296,9211909089472819710,0.063818,0.284685
16,10,3.400000,3419465013329475963,-1908794857114883782,0.052912,0.236036
17,10,3.200000,-434629981971614393,1577154286954618429,0.057355,0.255856
18,10,3.100000,8854165114489647373,-4393947972621587714,0.057153,0.254955
19,10,3.300000,2032032855639653789,-4201345819965007241,0.058365,0.260360
20,10,3.000000,7228670512627652345,-1408616201096164627,0.055942,0.249550
21,10,3.300000,4632759219560893958,835278123915073450,0.050085,0.223423
22,10,3.200000,8634985996155453829,-8263107857487659750,0.051701,0.230631
23,10,3.000000,5238685447327365381,8416925500042982821,0.054730,0.244144
24,10,3.100000,-5112783292783499793,8488022209096854206,0.063212,0.281982
25,10,3.200000,8558643142744130008,-1437595776588704513,0.052105,0.232432
26,10,3.100000,-8353632230263879998,-8140556884229400757,0.048469,0.216216
27,10,3.000000,-4193303632596949779,-7349375526157249462,0.048267,0.215315
28,10,3.000000,1007458335645561706,7919329704551105216,0.063212,0.281982
29,10,3.000000,-7073872138731293804,-969701899926180727,0.056952,0.254054
