Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,7356.666666666667,524551114886859566,-1490378035214664507,NaN,0.0
1,3,7053.666666666667,-777356871305875418,6590523923286372898,NaN,0.0
2,3,9262.0,8283392934691555529,8212700536466065896,NaN,0.0
3,3,8632.666666666666,-3279810375433129492,-959233551865157477,NaN,0.0
4,3,3359.0,-4980145563275602742,2273478783917929449,NaN,0.0
5,3,5295.666666666667,2196876352119362033,1702478746665458951,NaN,0.0
6,3,3108.6666666666665,6755379811690263699,-5273281507604773858,NaN,0.0
7,3,3652.6666666666665,-3616895164650845876,7102137343657031521,NaN,0.0
8,3,4643.0,8119522235495169685,-6218612192010311813,NaN,0.0
9,3,3235.6666666666665,1486462369054921338,-2778046837841398667,NaN,0.0
10,3,4767.666666666667,-3060355893783818163,8656277837216678215,NaN,0.0
11,3,8000.0,-819336394794478990,3165229176127347123,NaN,0.0
12,3,6344.333333333333,-4727168696563290255,6291764980141503763,NaN,0.0
13,3,12897.333333333334,-9220206514213470474,2556396965717119557,NaN,0.0
14,3,4741.666666666667,-8526642465217279386,-4976094627910001690,NaN,0.3004115226337449
15,3,2145.3333333333335,-3413050695557114325,7572772186515769700,NaN,0.0
16,3,4258.0,9042204722340793332,4894606878061009085,NaN,0.0
17,3,2777.3333333333335,5246930415981296491,-1715495814653159961,NaN,0.0
18,3,7708.333333333333,8193080305343641148,-5309908605793484750,NaN,0.0
19,3,6087.333333333333,-233034162139722406,-5022434608853365988,NaN,0.0
20,3,6061.0,857285680024254696,-6468709901851850886,NaN,0.0
21,3,3716.0,-5548442615758567113,6833744681789244123,NaN,0.0
22,3,4787.333333333333,-7611929872995862876,-3843993100776919404,NaN,0.05761316872427983
23,3,2151.0,-4183405644189413516,-1709640768714935081,NaN,0.0205761316872428
24,3,6768.666666666667,8741872184779976142,6358009086146419134,NaN,0.0
25,3,10386.333333333334,-811202130215740025,-419439807575003337,NaN,0.0
26,3,8896.0,87872779133270121,8583896512948866603,NaN,0.0
27,3,5222.333333333333,7430688531339907330,-3121265796322982812,NaN,0.0
28,3,4767.333333333333,-708073837851240618,2346015927970465267,NaN,0.0
29,3,9576.0,8708071162764642273,-22789191116045788,NaN,0.0
