Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,961.6666666666666,2312933556503922202,,NaN,0.0
1,3,915.6666666666666,1623746624195371394,,NaN,0.0
2,3,958.0,-300199885222706728,,NaN,0.0
3,3,907.6666666666666,9063969861145831604,,NaN,0.0
4,3,981.3333333333334,-7883181465040776146,,NaN,0.0
5,3,989.0,-1708826431225653022,,NaN,0.0
6,3,947.0,-3740374691696036127,,NaN,0.0
7,3,934.3333333333334,-8746758384182436901,,NaN,0.0
8,3,940.0,7159032622376190461,,NaN,0.0
9,3,987.3333333333334,6539035543309269594,,NaN,0.0
10,3,918.3333333333334,5181336176327918308,,NaN,0.0
11,3,892.6666666666666,8290769300737334066,,NaN,0.0
12,3,944.6666666666666,2232469074020348073,,NaN,0.0
13,3,972.0,-4300740649983311417,,NaN,0.0
14,3,935.6666666666666,6671740661224657310,,NaN,0.0
15,3,945.3333333333334,6212941679649914816,,NaN,0.0
16,3,922.0,-5744366105306978773,,NaN,0.0
17,3,895.0,8175914097437445626,,NaN,0.0
18,3,892.6666666666666,-2643185762346963743,,NaN,0.0
19,3,962.3333333333334,6644007860430012607,,NaN,0.0
20,3,958.3333333333334,8069379550636282830,,NaN,0.0
21,3,917.6666666666666,1631485365346339639,,NaN,0.0
22,3,934.0,-3297336317027570926,,NaN,0.0
23,3,929.0,-7135761183860324834,,NaN,0.0
24,3,878.3333333333334,1943110398027754674,,NaN,0.0
25,3,993.3333333333334,-2083284686637568585,,NaN,0.0
26,3,991.0,2235787899877813675,,NaN,0.0
27,3,974.6666666666666,-514998872219661569,,NaN,0.0
28,3,964.3333333333334,-2560420691191673782,,NaN,0.0
29,3,828.6666666666666,4613152192813202470,,NaN,0.0
