Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,3.3333333333333335,3474978941519596138,-47632694438125662,0.02878945542837322,0.21940928270042195
1,3,423.6666666666667,991636898555423124,-8862567610656013959,NaN,0.016877637130801686
2,3,1277.0,-5414766030086327640,-4748511106033463246,NaN,0.0
3,3,207.0,6930887194672779829,7139009018505309638,NaN,0.11392405063291139
4,3,5.0,-8256430099923060231,8746318455353325065,0.0032843392299687826,0.05063291139240506
5,3,105.0,-6024625572839028530,-6402278405251868616,NaN,0.012658227848101266
6,3,307.3333333333333,-2359855207081587903,1924569645805564070,NaN,0.0
7,3,1245.6666666666667,-6268798972068718063,5666737837205097792,NaN,0.0
8,3,906.0,-4621698164188052490,-1065418455797879856,NaN,0.0
9,3,400.6666666666667,4063044638576489049,-1472033150402519278,NaN,0.0
10,3,1004.0,7411288001878369506,-8483329623621881823,NaN,0.0
11,3,105.33333333333333,-8236232657681136113,3188276407639069644,NaN,0.08860759493670887
12,3,419.0,-5256175309773075673,-7362168482330216504,NaN,0.008438818565400843
13,3,3.3333333333333335,-2551648714084459442,-8869738125396209187,-0.006942637877211238,0.08438818565400845
14,3,1327.0,6289942974578013572,8124337983406361481,NaN,0.0
15,3,169.66666666666666,1177980056998436810,8835315421037325988,NaN,0.0
16,3,616.0,3888796679377017302,1905091301043219464,NaN,0.021097046413502112
17,3,238.0,5689868424050448877,-2864223538246843561,NaN,0.08860759493670885
18,3,406.0,-4470339072746074400,8740235460314696519,NaN,0.004219409282700422
19,3,1499.3333333333333,7676154367508921410,-8401320253136655322,NaN,0.0
20,3,101.66666666666667,5757608619073687118,4017229986919717485,NaN,0.07172995780590717
21,3,313.0,5424031222411598870,447160156545029535,NaN,0.10548523206751055
22,3,491.3333333333333,-3267487237892549898,6040980282116648905,NaN,0.0
23,3,848.0,3831133625097159772,-9214924209717822380,NaN,0.0
24,3,428.0,1828248098233620321,8210806788719544597,NaN,0.016877637130801686
25,3,269.6666666666667,3528911419354661329,-1019678342875790662,NaN,0.189873417721519
26,3,115.33333333333333,6525010278778239114,1904899496005201406,NaN,0.004219409282700422
27,3,1013.6666666666666,-2232975659003097760,754498629505171795,NaN,0.0
28,3,797.6666666666666,-5545630212601462555,-442684195421718813,NaN,0.0
29,3,3.0,7562680022696933575,-1323482373371464433,0.014302592785293097,0.1940928270042194
