Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,2.100000,-431687840736368495,-5413206137393354739,0.073829,0.322500
1,10,2.200000,-4217214785401613326,-8368094074307124525,0.073257,0.320000
2,10,2.100000,4719984949727971368,-7412305854540729052,0.074974,0.327500
3,10,2.000000,-37738182846372392,7036565899725828141,0.074974,0.327500
4,10,2.400000,-7581346102043770702,6238557225044975378,0.066961,0.292500
5,10,2.100000,8201918440108405914,-3881775785485145146,0.070968,0.310000
6,10,2.700000,-4235197539150920809,-4530875699600935078,0.074974,0.327500
7,10,2.600000,8550769173833875090,-984133934533599420,0.077263,0.337500
8,10,2.100000,8831275599891947047,-6339647962973398924,0.075546,0.330000
9,10,2.000000,1813991093555504661,6848611956661955121,0.070395,0.307500
10,10,2.200000,8877039495818675475,2613292196263835144,0.069251,0.302500
11,10,2.200000,7458296124606770188,1676119937319726938,0.076119,0.332500
12,10,2.400000,4450666840951694110,5316661091969334360,0.073829,0.322500
13,10,2.000000,2755557405874651075,-4217328012463504550,0.072112,0.315000
14,10,2.600000,5619561175235305235,8901201980208378621,0.076119,0.332500
15,10,2.300000,-7028237669830264831,455968058747580529,0.071540,0.312500
16,10,2.100000,2576879553012763897,-5590693021192923435,0.073257,0.320000
17,10,2.100000,-2942635254356194985,-1545976667944623207,0.074402,0.325000
18,10,2.200000,5786859084948307589,-1286852611707183301,0.076119,0.332500
19,10,2.400000,-2758416753212600899,972236851567564507,0.075546,0.330000
20,10,2.000000,4024271205979940559,4188372705781424761,0.073829,0.322500
21,10,2.100000,4165336601527464282,-5103614562677322530,0.075546,0.330000
22,10,2.000000,9180961204476577096,-6366226953457349254,0.070395,0.307500
23,10,2.000000,8184737830447503522,3836795189548511680,0.073829,0.322500
24,10,2.100000,-2021727724340311061,1568037863796318915,0.071540,0.312500
25,10,2.600000,6179611165656159142,5150017446982366504,0.078980,0.345000
26,10,2.500000,2172688933844939955,-2943471427565947740,0.072112,0.315000
27,10,2.000000,-1149764589101141338,-945060930945076837,0.073829,0.322500
28,10,2.400000,-8218355022469219764,4823547319797321386,0.077263,0.337500
29,10,2.200000,1469930637003476971,-1849593743238367985,0.076119,0.332500
